0,Sun Dec 21 21:24:39 2014,1.277,24.2,
1,Sun Dec 21 21:24:41 2014,1.277,24.2,
2,Sun Dec 21 21:24:42 2014,1.277,24.2,
3,Sun Dec 21 21:24:43 2014,1.276,24.2,
4,Sun Dec 21 21:24:44 2014,1.277,24.2,
5,Sun Dec 21 21:24:46 2014,1.276,24.2,
6,Sun Dec 21 21:24:47 2014,1.276,24.2,
7,Sun Dec 21 21:24:48 2014,1.276,24.2,
8,Sun Dec 21 21:24:50 2014,1.276,24.2,
9,Sun Dec 21 21:24:51 2014,1.275,24.2,
10,Sun Dec 21 21:24:52 2014,1.275,24.2,
11,Sun Dec 21 21:24:54 2014,1.275,24.2,
12,Sun Dec 21 21:24:55 2014,1.275,24.2,
13,Sun Dec 21 21:24:56 2014,1.275,24.2,
14,Sun Dec 21 21:24:57 2014,1.275,24.2,
15,Sun Dec 21 21:24:59 2014,1.275,24.2,
16,Sun Dec 21 21:25:00 2014,1.275,24.2,
17,Sun Dec 21 21:25:01 2014,1.274,24.2,
18,Sun Dec 21 21:25:02 2014,1.274,24.2,
19,Sun Dec 21 21:25:04 2014,1.274,24.2,
20,Sun Dec 21 21:25:05 2014,1.274,24.2,
21,Sun Dec 21 21:25:06 2014,1.274,24.2,
22,Sun Dec 21 21:25:08 2014,1.274,24.2,
23,Sun Dec 21 21:25:09 2014,1.274,24.2,
24,Sun Dec 21 21:25:10 2014,1.273,24.2,
25,Sun Dec 21 21:25:11 2014,1.274,24.2,
26,Sun Dec 21 21:25:13 2014,1.273,24.2,
27,Sun Dec 21 21:25:14 2014,1.273,24.2,
28,Sun Dec 21 21:25:15 2014,1.273,24.2,
29,Sun Dec 21 21:25:17 2014,1.273,24.2,
30,Sun Dec 21 21:25:18 2014,1.273,24.2,
31,Sun Dec 21 21:25:19 2014,1.273,24.2,
32,Sun Dec 21 21:25:20 2014,1.273,24.2,
33,Sun Dec 21 21:25:22 2014,1.272,24.2,
34,Sun Dec 21 21:25:23 2014,1.272,24.2,
35,Sun Dec 21 21:25:24 2014,1.272,24.2,
